timestamp,Wkdy/Wknd,arrive116Time,arrive96Time,arrive42Time,Recommendation
43988.0,0.0,44849.0,45089.0,45749.0,0.0
45203.0,0.0,45501.0,45741.0,46491.0,0.0
45203.0,0.0,45820.0,46060.0,46720.0,1.0
45203.0,0.0,46360.0,46600.0,47260.0,0.0
46373.0,0.0,46801.0,47041.0,47791.0,0.0
46373.0,0.0,47325.0,47565.0,48225.0,0.0
47588.0,0.0,47841.0,48081.0,48741.0,1.0
47588.0,0.0,48272.0,48512.0,49262.0,0.0
47588.0,0.0,48680.0,48920.0,49580.0,1.0
48878.0,0.0,49282.0,49522.0,50182.0,1.0
48878.0,0.0,49635.0,49875.0,50625.0,0.0
50123.0,0.0,50122.0,50362.0,51022.0,1.0
50123.0,0.0,50782.0,51022.0,51682.0,0.0
50123.0,0.0,51111.0,51351.0,52101.0,0.0
51428.0,0.0,51582.0,51822.0,52482.0,0.0
51428.0,0.0,52048.0,52288.0,52948.0,0.0
51428.0,0.0,52586.0,52826.0,53576.0,1.0
52763.0,0.0,53011.0,53251.0,53911.0,1.0
52763.0,0.0,53775.0,54015.0,54675.0,1.0
52763.0,0.0,54011.0,54251.0,55001.0,0.0
54143.0,0.0,54591.0,54831.0,55491.0,0.0
54143.0,0.0,54909.0,55149.0,55809.0,0.0
55538.0,0.0,55526.0,55766.0,56516.0,0.0
55538.0,0.0,55938.0,56178.0,56838.0,0.0
55538.0,0.0,56376.0,56616.0,57276.0,1.0
55538.0,0.0,56884.0,57124.0,57874.0,0.0
56933.0,0.0,57419.0,57659.0,58319.0,0.0
56933.0,0.0,57848.0,58088.0,58748.0,1.0
58313.0,0.0,58329.0,58569.0,59319.0,0.0
58313.0,0.0,58835.0,59075.0,59735.0,0.0
58313.0,0.0,59325.0,59565.0,60225.0,1.0
59753.0,0.0,59844.0,60084.0,60834.0,0.0
59753.0,0.0,60274.0,60514.0,61174.0,1.0
59753.0,0.0,60719.0,60959.0,61619.0,1.0
61208.0,0.0,61327.0,61567.0,62317.0,0.0
61208.0,0.0,61716.0,61956.0,62616.0,0.0
61208.0,0.0,62180.0,62420.0,63080.0,0.0
61208.0,0.0,62640.0,62880.0,63630.0,0.0
61208.0,0.0,63120.0,63360.0,64020.0,0.0
61208.0,0.0,63600.0,63840.0,64500.0,1.0
61208.0,0.0,64080.0,64320.0,65040.0,0.0
64208.0,0.0,64616.0,64856.0,65516.0,0.0
64208.0,0.0,65034.0,65274.0,65934.0,1.0
64208.0,0.0,65544.0,65784.0,66504.0,0.0
65738.0,0.0,66060.0,66300.0,66960.0,0.0
65738.0,0.0,66462.0,66702.0,67362.0,0.0
65738.0,0.0,66986.0,67226.0,67946.0,0.0
67253.0,0.0,67579.0,67819.0,68479.0,1.0
67253.0,0.0,67987.0,68227.0,68887.0,0.0
67253.0,0.0,68501.0,68741.0,69461.0,0.0
68738.0,0.0,68867.0,69107.0,69767.0,0.0
68738.0,0.0,69390.0,69630.0,70290.0,1.0
68738.0,0.0,69808.0,70048.0,70768.0,0.0
70373.0,0.0,70388.0,70628.0,71288.0,1.0
